2025-03-19 18:50:00,657 - INFO - Starting post-deployment data restoration
2025-03-19 18:50:00,744 - INFO - Database connection established
2025-03-19 18:50:00,744 - INFO - Transaction started
2025-03-19 18:50:00,758 - INFO - Data loaded from migration_data.json
2025-03-19 18:50:00,758 - INFO - === PRE-DEPLOYMENT DATA COUNTS (FROM JSON) ===
2025-03-19 18:50:00,759 - INFO - Committee Reports: 52
2025-03-19 18:50:00,759 - INFO - Agenda Items: 209
2025-03-19 18:50:00,759 - INFO - Removed Agenda Items: 19
2025-03-19 18:50:00,759 - INFO - Published Agenda Items: 34
2025-03-19 18:50:00,760 - INFO - Roll Calls: 1606
2025-03-19 18:50:04,878 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,878 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,878 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,878 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,878 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,878 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,878 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,879 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,879 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,879 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,879 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,879 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,879 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,879 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,880 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,880 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5572, skipping roll call
2025-03-19 18:50:04,880 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,880 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,880 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,880 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,881 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,881 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,881 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,881 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,881 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,882 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,882 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,882 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,882 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,882 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,883 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,883 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,883 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,883 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 5573, skipping roll call
2025-03-19 18:50:04,883 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,883 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,884 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,884 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,884 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,884 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,884 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,884 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,885 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,885 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,885 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,886 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,886 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,886 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,886 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,887 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,887 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:04,887 - WARNING - No new agenda item ID found for meeting ID 948 and agenda item ID 10557, skipping roll call
2025-03-19 18:50:05,080 - WARNING - No new agenda item ID found for meeting ID 4670 and agenda item ID 10558, skipping roll call
2025-03-19 18:50:05,080 - WARNING - No new agenda item ID found for meeting ID 4670 and agenda item ID 10558, skipping roll call
2025-03-19 18:50:05,080 - WARNING - No new agenda item ID found for meeting ID 4670 and agenda item ID 10558, skipping roll call
2025-03-19 18:50:05,081 - WARNING - No new agenda item ID found for meeting ID 4670 and agenda item ID 10558, skipping roll call
2025-03-19 18:50:05,081 - WARNING - No new agenda item ID found for meeting ID 4670 and agenda item ID 10558, skipping roll call
2025-03-19 18:50:05,081 - WARNING - No new agenda item ID found for meeting ID 4670 and agenda item ID 10558, skipping roll call
